Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	144 - Day One Hundred Forty Four	8/23/2009 1:41:24 PM 	13:11:18	42.6 km	3 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N46 39.559 E9 34.645	8/23/2009 1:41:24 PM 	885 m
Trackpoint	N46 39.585 E9 34.594	8/23/2009 1:44:08 PM 	886 m			81 m	0:02:44	2 kph	307° true
Trackpoint	N46 39.651 E9 34.592	8/23/2009 1:44:30 PM 	875 m			124 m	0:00:22	20 kph	359° true
Trackpoint	N46 39.710 E9 34.541	8/23/2009 1:45:00 PM 	863 m			127 m	0:00:30	15 kph	329° true
Trackpoint	N46 39.751 E9 34.596	8/23/2009 1:45:30 PM 	851 m			103 m	0:00:30	12 kph	43° true
Trackpoint	N46 39.729 E9 34.702	8/23/2009 1:46:04 PM 	849 m			140 m	0:00:34	15 kph	107° true
Trackpoint	N46 39.685 E9 34.767	8/23/2009 1:46:55 PM 	854 m			117 m	0:00:51	8 kph	134° true
Trackpoint	N46 39.662 E9 34.854	8/23/2009 1:48:05 PM 	861 m			119 m	0:01:10	6 kph	111° true
Trackpoint	N46 39.633 E9 34.934	8/23/2009 1:51:46 PM 	872 m			114 m	0:03:41	2 kph	117° true
Trackpoint	N46 39.583 E9 34.978	8/23/2009 1:52:49 PM 	883 m			109 m	0:01:03	6 kph	149° true
Trackpoint	N46 39.532 E9 34.967	8/23/2009 1:53:54 PM 	888 m			96 m	0:01:05	5 kph	189° true
Trackpoint	N46 39.501 E9 34.871	8/23/2009 1:55:19 PM 	900 m			135 m	0:01:25	6 kph	245° true
Trackpoint	N46 39.478 E9 34.789	8/23/2009 1:56:24 PM 	910 m			113 m	0:01:05	6 kph	248° true
Trackpoint	N46 39.459 E9 34.711	8/23/2009 1:57:34 PM 	919 m			106 m	0:01:10	5 kph	250° true
Trackpoint	N46 39.425 E9 34.623	8/23/2009 2:03:48 PM 	932 m			128 m	0:06:14	1.2 kph	240° true
Trackpoint	N46 39.380 E9 34.562	8/23/2009 2:04:58 PM 	943 m			114 m	0:01:10	6 kph	223° true
Trackpoint	N46 39.329 E9 34.487	8/23/2009 2:06:23 PM 	955 m			134 m	0:01:25	6 kph	225° true
Trackpoint	N46 39.266 E9 34.489	8/23/2009 2:07:38 PM 	966 m			118 m	0:01:15	6 kph	179° true
Trackpoint	N46 39.237 E9 34.564	8/23/2009 2:08:48 PM 	977 m			110 m	0:01:10	6 kph	119° true
Trackpoint	N46 39.181 E9 34.587	8/23/2009 2:09:58 PM 	988 m			108 m	0:01:10	6 kph	164° true
Trackpoint	N46 39.107 E9 34.615	8/23/2009 2:11:18 PM 	999 m			142 m	0:01:20	6 kph	165° true
Trackpoint	N46 39.039 E9 34.618	8/23/2009 2:17:02 PM 	1011 m			125 m	0:05:44	1.3 kph	178° true
Trackpoint	N46 38.989 E9 34.677	8/23/2009 2:18:37 PM 	1025 m			121 m	0:01:35	5 kph	141° true
Trackpoint	N46 38.950 E9 34.749	8/23/2009 2:19:47 PM 	1036 m			116 m	0:01:10	6 kph	128° true
Trackpoint	N46 38.898 E9 34.799	8/23/2009 2:21:07 PM 	1050 m			116 m	0:01:20	5 kph	147° true
Trackpoint	N46 38.853 E9 34.857	8/23/2009 2:22:21 PM 	1060 m			111 m	0:01:14	5 kph	138° true
Trackpoint	N46 38.810 E9 34.908	8/23/2009 2:23:26 PM 	1068 m			103 m	0:01:05	6 kph	141° true
Trackpoint	N46 38.764 E9 34.971	8/23/2009 2:29:06 PM 	1078 m			117 m	0:05:40	1.2 kph	137° true
Trackpoint	N46 38.713 E9 35.018	8/23/2009 2:30:16 PM 	1087 m			112 m	0:01:10	6 kph	147° true
Trackpoint	N46 38.665 E9 35.062	8/23/2009 2:31:16 PM 	1095 m			106 m	0:01:00	6 kph	148° true
Trackpoint	N46 38.607 E9 35.098	8/23/2009 2:32:10 PM 	1103 m			117 m	0:00:54	8 kph	157° true
Trackpoint	N46 38.555 E9 35.057	8/23/2009 2:32:51 PM 	1112 m			109 m	0:00:41	10 kph	208° true
Trackpoint	N46 38.534 E9 35.126	8/23/2009 2:33:41 PM 	1119 m			96 m	0:00:50	7 kph	114° true
